ID,Name,Description,ColumnSpec,Concepticon_ID,Concepticon_Gloss,Central_Concept,Core_Concept
grain,GRAIN,,,605,GRAIN,GRAIN,
holdortake,HOLD OR TAKE,,,2104,HOLD OR TAKE,,
heel,HEEL,,,980,HEEL,LEG,
hip,HIP,,,1745,HIP,LEG,
hole,HOLE,,,1667,HOLE,HOLE,
honey,HONEY,,,942,HONEY,BEE,
hunger,HUNGER,,,1864,HUNGER,HUNGER,
hunter,HUNTER,,,1053,HUNTER,,
hyena,HYENA,,,1799,HYENA,,
increase,INCREASE,,,1041,INCREASE,GO UP (ASCEND),
itchcauseitchingorfeelitchy,ITCH (CAUSE ITCHING OR FEEL ITCHY),,,3855,ITCH (CAUSE ITCHING OR FEEL ITCHY),,
jaw,JAW,,,798,JAW,JAW,
jealousy,JEALOUSY,,,2016,JEALOUSY,,
restorsleep,REST OR SLEEP,,,2116,REST OR SLEEP,,
lightradiation,LIGHT (RADIATION),,,630,LIGHT (RADIATION),CLEAN,
lip,LIP,,,478,LIP,NOSE,
desire,DESIRE,,,2117,DESIRE,,
marry,MARRY,,,203,MARRY,SLEEP,
shamanfolkhealer,SHAMAN (FOLK HEALER),,,394,SHAMAN (FOLK HEALER),CHIEFTAIN,
mould,MOULD,,,1166,MOULD,,
mountainorhill,MOUNTAIN OR HILL,,,2118,MOUNTAIN OR HILL,STONE OR ROCK,
moveaway,MOVE AWAY,,,229,MOVE AWAY,,
napeofneck,NAPE (OF NECK),,,1347,NAPE (OF NECK),NECKLACE,
our,OUR,,,780,OUR,,
overcome,OVERCOME,,,1999,OVERCOME,,
surpass,SURPASS,,,402,SURPASS,,
penis,PENIS,,,1222,PENIS,GRAIN,
pipe,PIPE,,,1124,PIPE,,
placeposition,PLACE (POSITION),,,723,PLACE (POSITION),COUNTRY,
plantvegetation,PLANT (VEGETATION),,,653,PLANT (VEGETATION),POST,
pour,POUR,,,1487,POUR,POUR,
put,PUT,,,998,PUT,GIVE,
quarrelverb,QUARREL (VERB),,,3302,QUARREL (VERB),,
palmtree,PALM TREE,,,1181,PALM TREE,,
mow,MOW,,,190,MOW,CUT,
recover,RECOVER,,,1978,RECOVER,,
reed,REED,,,659,REED,,
refuse,REFUSE,,,49,REFUSE,FORBID,
resemble,RESEMBLE,,,1777,RESEMBLE,,
rib,RIB,,,801,RIB,LEG,
ripen,RIPEN,,,179,RIPEN,YELLOW,
roastsomething,ROAST (SOMETHING),,,1962,ROAST (SOMETHING),BURN,
rooster,ROOSTER,,,1511,ROOSTER,CHICKEN,
saliva,SALIVA,,,1503,SALIVA,SPIT,
seize,SEIZE,,,855,SEIZE,TAKE,
self,SELF,,,1993,SELF,,
send,SEND,,,1127,SEND,SEND,
makedry,MAKE DRY,,,2015,MAKE DRY,,
shade,SHADE,,,1388,SHADE,GHOST,Tadmor-2009-100
shame,SHAME,,,1776,SHAME,,
sharpensomething,SHARPEN (SOMETHING),,,251,SHARPEN (SOMETHING),PULL,
shield,SHIELD,,,1064,SHIELD,SHIELD,
shin,SHIN,,,186,SHIN,LEG,
slaughter,SLAUGHTER,,,1796,SLAUGHTER,,
smallpox,SMALLPOX,,,1054,SMALLPOX,,
smell,SMELL,,,2124,SMELL,,
snore,SNORE,,,1983,SNORE,,
soot,SOOT,,,830,SOOT,,
sorcerer,SORCERER,,,823,SORCERER,,
spark,SPARK,,,518,SPARK,,
sperm,SPERM,,,1505,SPERM,,
spot,SPOT,,,519,SPOT,,
spreadout,SPREAD OUT,,,38,SPREAD OUT,PULL,
springofwater,SPRING (OF WATER),,,849,SPRING (OF WATER),WELL,
drawmilk,DRAW MILK,,,93,DRAW MILK,SQUEEZE,
stranger,STRANGER,,,791,STRANGER,CHIEFTAIN,
stretch,STRETCH,,,214,STRETCH,PULL,
string,STRING,,,362,STRING,STRAP,
stutter,STUTTER,,,1866,STUTTER,MUMBLE,
endure,ENDURE,,,833,ENDURE,,
swear,SWEAR,,,1939,SWEAR,SWEAR,
sweetpotato,SWEET POTATO,,,159,SWEET POTATO,YAM,
undress,UNDRESS,,,1755,UNDRESS,,
tastesomething,TASTE (SOMETHING),,,21,TASTE (SOMETHING),READ,
tearofeye,TEAR (OF EYE),,,1651,TEAR (OF EYE),WATER,
termite,TERMITE,,,883,TERMITE,ANT,
testicles,TESTICLES,,,797,TESTICLES,GRAIN,
thirst,THIRST,,,848,THIRST,HUNGER,
tick,TICK,,,1527,TICK,,
tortoise,TORTOISE,,,895,TORTOISE,TORTOISE,
try,TRY,,,1812,TRY,READ,
twins,TWINS,,,1005,TWINS,TWO,
unripe,UNRIPE,,,1958,UNRIPE,YELLOW,
uporabove,UP OR ABOVE,,,2379,UP OR ABOVE,,
piss,PISS,,,592,PISS,PISS,
vein,VEIN,,,1924,VEIN,THREAD,
voice,VOICE,,,1363,VOICE,SPEAK,
war,WAR,,,935,WAR,BATTLE,
well,WELL,,,954,WELL,WELL,
youngman,YOUNG MAN,,,76,YOUNG MAN,CHILD (DESCENDANT),
not,NOT,,,1240,NOT,NOT,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
world,WORLD,,,965,WORLD,COUNTRY,
itch,ITCH,,,148,ITCH,WOUND,
shut,SHUT,,,1046,SHUT,COVER,
glutinousrice,GLUTINOUS RICE,,,2750,GLUTINOUS RICE,,
lamb,LAMB,,,820,LAMB,LAMB,
bake,BAKE,,,183,BAKE,COOK (SOMETHING),
friday,FRIDAY,,,1692,FRIDAY,,
monday,MONDAY,,,1697,MONDAY,,
malegoat,MALE GOAT,,,2475,MALE GOAT,LAMB,
already,ALREADY,,,2576,ALREADY,,
cheese,CHEESE,,,1569,CHEESE,,
wednesday,WEDNESDAY,,,1694,WEDNESDAY,THURSDAY,
oldman,OLD MAN,,,406,OLD MAN,OLD,
saturday,SATURDAY,,,1700,SATURDAY,WEEK,
with,WITH,,,1340,WITH,AND,Swadesh-1952-200
saw,SAW,,,1948,SAW,CUT,
then,THEN,,,2921,THEN,THEN,
oven,OVEN,,,1143,OVEN,FIREPLACE,
bread,BREAD,,,1368,BREAD,MEAL,
goodlooking,GOOD-LOOKING,,,2410,GOOD-LOOKING,CORRECT (RIGHT),
cherry,CHERRY,,,2765,CHERRY,,
wine,WINE,,,1524,WINE,MEAD,
apple,APPLE,,,1320,APPLE,,
ox,OX,,,1169,OX,CATTLE,
time,TIME,,,892,TIME,DAY (NOT NIGHT),
giveback,GIVE BACK,,,85,GIVE BACK,TWIST (AROUND),
wool,WOOL,,,964,WOOL,FEATHER,
beef,BEEF,,,2570,BEEF,,
up,UP,,,1591,UP,HIGH,
town,TOWN,,,1391,TOWN,COUNTRY,
grape,GRAPE,,,920,GRAPE,THREAD,
yard,YARD,,,736,YARD,FENCE,
pocket,POCKET,,,1851,POCKET,FISHNET,
down,DOWN,,,1326,DOWN,LOW,
bottom,BOTTOM,,,690,BOTTOM,LOW,
iron,IRON,,,621,IRON,KNIFE (FOR EATING),
flour,FLOUR,,,1594,FLOUR,MEAL,
healthy,HEALTHY,,,1364,HEALTHY,CORRECT (RIGHT),
soninlaw,SON-IN-LAW,,,1056,SON-IN-LAW,,
lentils,LENTILS,,,3330,LENTILS,,
sunday,SUNDAY,,,1699,SUNDAY,WEEK,
carry,CARRY,,,700,CARRY,TAKE,Tadmor-2009-100
shepherd,SHEPHERD,,,2544,SHEPHERD,,
word,WORD,,,1599,WORD,SPEAK,
north,NORTH,,,1598,NORTH,NORTH,
storm,STORM,,,858,STORM,BLOW (OF WIND),
tearshred,TEAR (SHRED),,,1735,TEAR (SHRED),CUT,
goose,GOOSE,,,1187,GOOSE,GOOSE,
oak,OAK,,,644,OAK,OAK,
toe,TOE,,,1389,TOE,ARM,
calf,CALF,,,1989,CALF,CATTLE,
top,TOP,,,1753,TOP,HIGH,
mouse,MOUSE,,,1491,MOUSE,RAT,
holy,HOLY,,,1702,HOLY,CLEAN,
home,HOME,,,2406,HOME,HOUSE,
fingernailortoenail,FINGERNAIL OR TOENAIL,,,1896,FINGERNAIL OR TOENAIL,FINGERNAIL,
naked,NAKED,,,590,NAKED,,
sore,SORE,,,51,SORE,,
claw,CLAW,,,72,CLAW,FINGERNAIL,Swadesh-1955-100
wildanimal,WILD ANIMAL,,,958,WILD ANIMAL,,
catchacold,CATCH A COLD,,,2184,CATCH A COLD,,
weather,WEATHER,,,952,WEATHER,DAY (NOT NIGHT),
sunnyday,SUNNY DAY,,,2742,SUNNY DAY,,
cloudyday,CLOUDY DAY,,,2743,CLOUDY DAY,,
seaorocean,SEA OR OCEAN,,,2282,SEA OR OCEAN,,
landscape,LANDSCAPE,,,2342,LANDSCAPE,,
nextyear,NEXT YEAR,,,515,NEXT YEAR,,
yearafternextyear,YEAR AFTER NEXT YEAR,,,2330,YEAR AFTER NEXT YEAR,,
yearbeforelastyear,YEAR BEFORE LAST YEAR,,,2331,YEAR BEFORE LAST YEAR,,
threedaysfromnow,THREE DAYS FROM NOW,,,2332,THREE DAYS FROM NOW,,
forenoon,FORENOON,,,2775,FORENOON,,
dusk,DUSK,,,2297,DUSK,,
dragonboatfestival,DRAGON BOAT FESTIVAL,,,2186,DRAGON BOAT FESTIVAL,,
midautumnfestival,MID-AUTUMN FESTIVAL,,,2187,MID-AUTUMN FESTIVAL,,
newyearseve,NEW YEAR'S EVE,,,2188,NEW YEAR'S EVE,,
copper,COPPER,,,1825,COPPER,KNIFE (FOR EATING),
steel,STEEL,,,2343,STEEL,,
leadchemicalelement,LEAD (CHEMICAL ELEMENT),,,627,LEAD (CHEMICAL ELEMENT),TIN OR TINPLATE,
tinmetal,TIN (METAL),,,893,TIN (METAL),,
coal,COAL,,,2658,COAL,,
petrol,PETROL,,,2344,PETROL,,
lion,LION,,,1386,LION,,
leopard,LEOPARD,,,1139,LEOPARD,,
eagleorhawk,EAGLE OR HAWK,,,2683,EAGLE OR HAWK,,
owl,OWL,,,735,OWL,,
wildgoose,WILD GOOSE,,,2776,WILD GOOSE,,
swallowbird,SWALLOW (BIRD),,,3077,SWALLOW (BIRD),,
crestedmyna,CRESTED MYNA,,,2346,CRESTED MYNA,,
stallion,STALLION,,,936,STALLION,HORSE,
mare,MARE,,,938,MARE,HORSE,
malepig,MALE PIG,,,2487,MALE PIG,,
sowfemalepig,SOW (FEMALE PIG),,,1351,SOW (FEMALE PIG),PIG,
maledog,MALE DOG,,,2480,MALE DOG,,
femaledog,FEMALE DOG,,,2481,FEMALE DOG,,
mule,MULE,,,890,MULE,HORSE,
caprinegoatorsheep,CAPRINE (GOAT OR SHEEP),,,2684,CAPRINE (GOAT OR SHEEP),,
capon,CAPON,,,2567,CAPON,,
chickenchick,CHICKEN CHICK,,,2513,CHICKEN CHICK,,
carpfish,CARP (FISH),,,2685,CARP (FISH),,
cruciancarp,CRUCIAN CARP,,,2784,CRUCIAN CARP,,
yellowcroaker,YELLOW CROAKER,,,2347,YELLOW CROAKER,,
crab,CRAB,,,2348,CRAB,,
shrimp,SHRIMP,,,2349,SHRIMP,,
bivalviamusselsoroysters,BIVALVIA (MUSSELS OR OYSTERS),,,2785,BIVALVIA (MUSSELS OR OYSTERS),,
toad,TOAD,,,894,TOAD,,
snail,SNAIL,,,1543,SNAIL,BARK,
silkworm,SILKWORM,,,2351,SILKWORM,,
dragonfly,DRAGONFLY,,,2352,DRAGONFLY,,
cicada,CICADA,,,2353,CICADA,,
firefly,FIREFLY,,,206,FIREFLY,,
cricket,CRICKET,,,2354,CRICKET,,
centipede,CENTIPEDE,,,1974,CENTIPEDE,CENTIPEDE,
hoof,HOOF,,,152,HOOF,,
scale,SCALE,,,266,SCALE,BARK,
plumblossom,PLUM BLOSSOM,,,2744,PLUM BLOSSOM,,
apricotblossom,APRICOT BLOSSOM,,,2745,APRICOT BLOSSOM,,
peachblossom,PEACH BLOSSOM,,,2746,PEACH BLOSSOM,,
lotus,LOTUS,,,2359,LOTUS,,
sweetoliveflower,SWEET OLIVE FLOWER,,,2748,SWEET OLIVE FLOWER,,
mugwort,MUGWORT,,,2361,MUGWORT,,
unhuskedrice,UNHUSKED RICE,,,2749,UNHUSKED RICE,RICE,
bran,BRAN,,,2362,BRAN,,
chaffhusk,CHAFF (HUSK),,,2363,CHAFF (HUSK),,
sorghum,SORGHUM,,,347,SORGHUM,,
sunflower,SUNFLOWER,,,1956,SUNFLOWER,,
gourd,GOURD,,,411,GOURD,BOWL,
radish,RADISH,,,2365,RADISH,,
mandarine,MANDARINE,,,2367,MANDARINE,,
grapefruitorpomelo,GRAPEFRUIT OR POMELO,,,3804,GRAPEFRUIT OR POMELO,,
olive,OLIVE,,,1154,OLIVE,,
chestnut,CHESTNUT,,,2318,CHESTNUT,,
litchi,LITCHI,,,2768,LITCHI,,
watermelon,WATERMELON,,,2766,WATERMELON,,
skinoffruit,SKIN (OF FRUIT),,,2373,SKIN (OF FRUIT),BARK,
mantou,MANTOU,,,1969,MANTOU,,
baozi,BAOZI,,,511,BAOZI,,
noodle,NOODLE,,,973,NOODLE,,
cake,CAKE,,,2408,CAKE,,
meatdishes,MEAT DISHES,,,2767,MEAT DISHES,,
pork,PORK,,,2769,PORK,,
pigliver,PIG LIVER,,,2778,PIG LIVER,,
pigtongue,PIG TONGUE,,,2777,PIG TONGUE,,
chickenegg,CHICKEN EGG,,,2779,CHICKEN EGG,,
pigfat,PIG FAT,,,2557,PIG FAT,,
soyasauce,SOYA SAUCE,,,1968,SOYA SAUCE,,
vinegar,VINEGAR,,,985,VINEGAR,,
candy,CANDY,,,874,CANDY,BEE,
boiledwater,BOILED WATER,,,3362,BOILED WATER,,
cigarette,CIGARETTE,,,969,CIGARETTE,TOBACCO,
shirt,SHIRT,,,1622,SHIRT,CLOTHES,
coat,COAT,,,603,COAT,CLOTHES,
skirt,SKIRT,,,1600,SKIRT,CLOTHES,
boot,BOOT,,,585,BOOT,SHOE,
shawl,SHAWL,,,2771,SHAWL,,
glove,GLOVE,,,867,GLOVE,,
sock,SOCK,,,1522,SOCK,,
towel,TOWEL,,,1021,TOWEL,CLOTHES,
handkerchief,HANDKERCHIEF,,,1020,HANDKERCHIEF,,
collar,COLLAR,,,2012,COLLAR,NECKLACE,
sleeve,SLEEVE,,,2953,SLEEVE,,
room,ROOM,,,1450,ROOM,HOUSE,
kitchen,KITCHEN,,,1365,KITCHEN,,
toilet,TOILET,,,219,TOILET,,
beam,BEAM,,,1132,BEAM,POST,
step,STEP,,,1158,STEP,,
cupboard,CUPBOARD,,,3357,CUPBOARD,,
box,BOX,,,1465,BOX,,
kitchenknife,KITCHEN KNIFE,,,2772,KITCHEN KNIFE,,
jug,JUG,,,270,JUG,BOWL,
earthenjug,EARTHEN JUG,,,3409,EARTHEN JUG,,
storingpot,STORING POT,,,3765,STORING POT,,
glue,GLUE,,,1069,GLUE,WATER,
fanobject,FAN (OBJECT),,,1971,FAN (OBJECT),BLOW (OF WIND),
umbrella,UMBRELLA,,,3105,UMBRELLA,,
walkingstick,WALKING STICK,,,1296,WALKING STICK,POST,
match,MATCH,,,1133,MATCH,FIRE,
soap,SOAP,,,788,SOAP,,
toothbrush,TOOTHBRUSH,,,2579,TOOTHBRUSH,,
abacus,ABACUS,,,2489,ABACUS,,
scalesmeasureinstrument,SCALES (MEASURE INSTRUMENT),,,2783,SCALES (MEASURE INSTRUMENT),,
footunit,FOOT (UNIT),,,2688,FOOT (UNIT),,
tongs,TONGS,,,272,TONGS,,
chisel,CHISEL,,,1979,CHISEL,NEEDLE (FOR SEWING),
filetool,FILE (TOOL),,,3407,FILE (TOOL),,
awl,AWL,,,278,AWL,NEEDLE (FOR SEWING),
planetool,PLANE (TOOL),,,3408,PLANE (TOOL),,
smallknife,SMALL KNIFE,,,3233,SMALL KNIFE,,
hook,HOOK,,,1071,HOOK,FISHNET,
nailtool,NAIL (TOOL),,,502,NAIL (TOOL),FINGERNAIL,
ladderorstairs,LADDER OR STAIRS,,,2689,LADDER OR STAIRS,,
wheel,WHEEL,,,710,WHEEL,CIRCLE,
paintpigments,PAINT (PIGMENTS),,,647,PAINT (PIGMENTS),PAINT (PIGMENTS),
glass,GLASS,,,604,GLASS,GLASS,
store,STORE,,,752,STORE,MARKET,
postagestamp,POSTAGE STAMP,,,596,POSTAGE STAMP,,
car,CAR,,,1111,CAR,CAR,
bicycle,BICYCLE,,,747,BICYCLE,,
street,STREET,,,1362,STREET,PATH,
school,SCHOOL,,,673,SCHOOL,,
letter,LETTER,,,1612,LETTER,LETTER,
envelope,ENVELOPE,,,3088,ENVELOPE,,
seal,SEAL,,,651,SEAL,,
picturephotograph,PICTURE (PHOTOGRAPH),,,3304,PICTURE (PHOTOGRAPH),,
movie,MOVIE,,,216,MOVIE,,
ball,BALL,,,1845,BALL,CIRCLE,
hawk,HAWK,,,307,HAWK,VULTURE,
whistle,WHISTLE,,,1025,WHISTLE,BLOW (OF WIND),
forehead,FOREHEAD,,,123,FOREHEAD,JAW,
lefthand,LEFT HAND,,,2182,LEFT HAND,,
righthand,RIGHT HAND,,,2183,RIGHT HAND,,
fingertip,FINGERTIP,,,2773,FINGERTIP,,
thumb,THUMB,,,1781,THUMB,ARM,
littlefinger,LITTLE FINGER,,,2774,LITTLE FINGER,,
oldwoman,OLD WOMAN,,,907,OLD WOMAN,OLD,
deafperson,DEAF PERSON,,,458,DEAF PERSON,,
muteperson,MUTE PERSON,,,2320,MUTE PERSON,,
stutterer,STUTTERER,,,3367,STUTTERER,,
pimpleface,PIMPLEFACE,,,3366,PIMPLEFACE,,
baldhead,BALDHEAD,,,3415,BALDHEAD,,
hunchback,HUNCHBACK,,,99,HUNCHBACK,,
lameperson,LAME PERSON,,,2322,LAME PERSON,,
madperson,MAD PERSON,,,2321,MAD PERSON,,
widow,WIDOW,,,1756,WIDOW,WIDOW,
thief,THIEF,,,1160,THIEF,THIEF,
stepmother,STEPMOTHER,,,236,STEPMOTHER,FATHER-IN-LAW (OF MAN),
paternalunclefathersolderbrother,PATERNAL UNCLE (FATHER'S OLDER BROTHER),,,2173,PATERNAL UNCLE (FATHER'S OLDER BROTHER),,
paternalauntwifeoffathersolderbrother,PATERNAL AUNT (WIFE OF FATHER'S OLDER BROTHER),,,2170,PATERNAL AUNT (WIFE OF FATHER'S OLDER BROTHER),,
uncle,UNCLE,,,1327,UNCLE,FATHER-IN-LAW (OF MAN),
paternalauntwifeoffathersyoungerbrother,PATERNAL AUNT (WIFE OF FATHER'S YOUNGER BROTHER),,,2171,PATERNAL AUNT (WIFE OF FATHER'S YOUNGER BROTHER),,
unclehusbandoffatherssister,UNCLE (HUSBAND OF FATHER'S SISTER),,,2690,UNCLE (HUSBAND OF FATHER'S SISTER),,
paternalauntfatherssister,PATERNAL AUNT (FATHER'S SISTER),,,2691,PATERNAL AUNT (FATHER'S SISTER),,
maternalgrandfather,MATERNAL GRANDFATHER,,,2178,MATERNAL GRANDFATHER,,
maternalgrandmother,MATERNAL GRANDMOTHER,,,2177,MATERNAL GRANDMOTHER,,
maternalunclemothersbrother,MATERNAL UNCLE (MOTHER'S BROTHER),,,2692,MATERNAL UNCLE (MOTHER'S BROTHER),,
maternalauntmotherssister,MATERNAL AUNT (MOTHER'S SISTER),,,2693,MATERNAL AUNT (MOTHER'S SISTER),,
maternalunclehusbandofonesmaternalaunt,MATERNAL UNCLE (HUSBAND OF ONE'S MATERNAL AUNT),,,2694,MATERNAL UNCLE (HUSBAND OF ONE'S MATERNAL AUNT),,
maternalaunt,MATERNAL AUNT,,,2176,MATERNAL AUNT,,
fatherinlawofman,FATHER-IN-LAW (OF MAN),,,2255,FATHER-IN-LAW (OF MAN),FATHER-IN-LAW (OF MAN),
motherinlawofman,MOTHER-IN-LAW (OF MAN),,,2257,MOTHER-IN-LAW (OF MAN),FATHER-IN-LAW (OF MAN),
fatherinlawofwoman,FATHER-IN-LAW (OF WOMAN),,,2254,FATHER-IN-LAW (OF WOMAN),FATHER-IN-LAW (OF MAN),
motherinlawofwoman,MOTHER-IN-LAW (OF WOMAN),,,2256,MOTHER-IN-LAW (OF WOMAN),FATHER-IN-LAW (OF MAN),
sisterinlawolderbrotherswife,SISTER-IN-LAW (OLDER BROTHER'S WIFE),,,2695,SISTER-IN-LAW (OLDER BROTHER'S WIFE),,
brotherinlawoldersistershusband,BROTHER-IN-LAW (OLDER SISTER'S HUSBAND),,,2696,BROTHER-IN-LAW (OLDER SISTER'S HUSBAND),,
brotherinlawyoungersistershusband,BROTHER-IN-LAW (YOUNGER SISTER'S HUSBAND),,,2697,BROTHER-IN-LAW (YOUNGER SISTER'S HUSBAND),,
brotherinlawhusbandsolderbrother,BROTHER-IN-LAW (HUSBAND'S OLDER BROTHER),,,2698,BROTHER-IN-LAW (HUSBAND'S OLDER BROTHER),,
brotherinlawhusbandsyoungerbrother,BROTHER-IN-LAW (HUSBAND'S YOUNGER BROTHER),,,2699,BROTHER-IN-LAW (HUSBAND'S YOUNGER BROTHER),,
sisterinlawhusbandsoldersister,SISTER-IN-LAW (HUSBAND'S OLDER SISTER),,,2700,SISTER-IN-LAW (HUSBAND'S OLDER SISTER),,
sisterinlawhusbandsyoungersister,SISTER-IN-LAW (HUSBAND'S YOUNGER SISTER),,,2701,SISTER-IN-LAW (HUSBAND'S YOUNGER SISTER),,
daughterinlaw,DAUGHTER-IN-LAW,,,1057,DAUGHTER-IN-LAW,,
nephew,NEPHEW,,,1063,NEPHEW,CHILD (DESCENDANT),
niece,NIECE,,,1642,NIECE,CHILD (DESCENDANT),
grandsonsonsson,GRANDSON (SON'S SON),,,2702,GRANDSON (SON'S SON),,
granddaughter,GRANDDAUGHTER,,,1619,GRANDDAUGHTER,CHILD (DESCENDANT),
grandchilddaughtersoffspring,GRANDCHILD (DAUGHTER'S OFFSPRING),,,2703,GRANDCHILD (DAUGHTER'S OFFSPRING),,
backpart,BACK (PART),,,2323,BACK (PART),,
side,SIDE,,,682,SIDE,EDGE,
nextto,NEXT TO,,,2917,NEXT TO,,
powder,POWDER,,,3368,POWDER,,
garbage,GARBAGE,,,909,GARBAGE,,
corner,CORNER,,,192,CORNER,EDGE,
pigsty,PIGSTY,,,3369,PIGSTY,,
chickennest,CHICKEN NEST,,,2764,CHICKEN NEST,,
grave,GRAVE,,,1773,GRAVE,HOLE,
coffin,COFFIN,,,2011,COFFIN,,
affair,AFFAIR,,,2214,AFFAIR,WORK (LABOUR),
rainraining,RAIN (RAINING),,,1253,RAIN (RAINING),WATER,Swadesh-1952-200
freeze,FREEZE,,,1431,FREEZE,COLD,Swadesh-1952-200
melt,MELT,,,2334,MELT,MELT,
fadeloosecolor,FADE (LOOSE COLOR),,,2704,FADE (LOOSE COLOR),,
blink,BLINK,,,1655,BLINK,,
inhale,INHALE,,,2705,INHALE,,
gnaw,GNAW,,,2706,GNAW,,
splash,SPLASH,,,365,SPLASH,RUN,
blowwithmouth,BLOW (WITH MOUTH),,,176,BLOW (WITH MOUTH),BLOW (OF WIND),
touch,TOUCH,,,1892,TOUCH,TAKE,
catch,CATCH,,,702,CATCH,TAKE,
rub,RUB,,,1449,RUB,SCRAPE,Swadesh-1952-200
carryhorizontally,CARRY HORIZONTALLY,,,2763,CARRY HORIZONTALLY,,
carryinhand,CARRY IN HAND,,,412,CARRY IN HAND,TAKE,
move,MOVE,,,765,MOVE,SHAKE,
press,PRESS,,,1913,PRESS,SQUEEZE,
blocktheway,BLOCK (THE WAY),,,2762,BLOCK (THE WAY),,
pullout,PULL OUT,,,2325,PULL OUT,,
embrace,EMBRACE,,,928,EMBRACE,TAKE,
clogsomething,CLOG (SOMETHING),,,2707,CLOG (SOMETHING),,
cover,COVER,,,761,COVER,COVER,
spin,SPIN,,,121,SPIN,TWIST (AROUND),
wrap,WRAP,,,1113,WRAP,TWIST (AROUND),
untie,UNTIE,,,352,UNTIE,LET GO OR SET FREE,
fold,FOLD,,,1470,FOLD,TWIST (AROUND),
fill,FILL,,,2006,FILL,,
strike,STRIKE,,,353,STRIKE,KILL,
jump,JUMP,,,1829,JUMP,RUN,
standup,STAND UP,,,570,STAND UP,GO UP (ASCEND),
crouch,CROUCH,,,296,CROUCH,"DWELL (LIVE, RESIDE)",
relyon,RELY ON,,,3370,RELY ON,,
tumblefalldown,TUMBLE (FALL DOWN),,,2894,TUMBLE (FALL DOWN),FALL,
hideoneself,HIDE (ONESELF),,,2485,HIDE (ONESELF),COVER,
carryonshoulder,CARRY ON SHOULDER,,,413,CARRY ON SHOULDER,TAKE,
runaway,RUN AWAY,,,2142,RUN AWAY,,
wearonhead,WEAR (ON HEAD),,,3428,WEAR (ON HEAD),,
brush,BRUSH,,,1821,BRUSH,RAKE,
washoneself,WASH (ONESELF),,,3371,WASH (ONESELF),,
sunbathe,SUNBATHE,,,3131,SUNBATHE,,
ironclothes,IRON (CLOTHES),,,3118,IRON (CLOTHES),,
dye,DYE,,,157,DYE,PAINT (PIGMENTS),
pointwithfinger,POINT (WITH FINGER),,,2669,POINT (WITH FINGER),,
mix,MIX,,,2017,MIX,SHAKE,
chatwithsomebody,CHAT (WITH SOMEBODY),,,2903,CHAT (WITH SOMEBODY),SPEAK,
manage,MANAGE,,,3073,MANAGE,,
smile,SMILE,,,1451,SMILE,LAUGH,
scold,SCOLD,,,299,SCOLD,SCOLD,
makeajoke,MAKE A JOKE,,,2760,MAKE A JOKE,,
becomeangry,BECOME ANGRY,,,2215,BECOME ANGRY,,
recommend,RECOMMEND,,,2759,RECOMMEND,,
boast,BOAST,,,101,BOAST,BOAST,
flatter,FLATTER,,,2709,FLATTER,,
accompany,ACCOMPANY,,,1542,ACCOMPANY,,
drive,DRIVE,,,741,DRIVE,GO,
takeaphoto,TAKE A PHOTO,,,2710,TAKE A PHOTO,,
win,WIN,,,866,WIN,,
transport,TRANSPORT,,,2711,TRANSPORT,,
sneeze,SNEEZE,,,1621,SNEEZE,NOSE,
becomesick,BECOME SICK,,,2327,BECOME SICK,BECOME SICK,
getdizzy,GET DIZZY,,,2712,GET DIZZY,,
haveafever,HAVE A FEVER,,,2713,HAVE A FEVER,,
havediarrhea,HAVE DIARRHEA,,,2714,HAVE DIARRHEA,,
despise,DESPISE,,,2715,DESPISE,,
blamesomebody,BLAME (SOMEBODY),,,2716,BLAME (SOMEBODY),,
regret,REGRET,,,1875,REGRET,GRIEF,
intend,INTEND,,,22,INTEND,,
doubtsomething,DOUBT (SOMETHING),,,3536,DOUBT (SOMETHING),,
careful,CAREFUL,,,2758,CAREFUL,,
misssomebody,MISS (SOMEBODY),,,2328,MISS (SOMEBODY),,
necessary,NECESSARY,,,1030,NECESSARY,,
no,NO,,,1269,NO,NOT,
lacknothave,LACK (NOT HAVE),,,2329,LACK (NOT HAVE),,
kiss,KISS,,,578,KISS,DRINK,
loose,LOOSE,,,2506,LOOSE,,
waste,WASTE,,,79,WASTE,,
lowheight,LOW (HEIGHT),,,2191,LOW (HEIGHT),,
broad,BROAD,,,2531,BROAD,,
angularsquareformed,ANGULAR (SQUAREFORMED),,,2757,ANGULAR (SQUAREFORMED),,
flat,FLAT,,,1633,FLAT,SMOOTH,
opposite,OPPOSITE,,,885,OPPOSITE,,
slanted,SLANTED,,,3075,SLANTED,,
horizontal,HORIZONTAL,,,2376,HORIZONTAL,,
vertical,VERTICAL,,,2375,VERTICAL,,
steep,STEEP,,,2717,STEEP,,
crooked,CROOKED,,,297,CROOKED,TWIST (AROUND),
strongofdrink,STRONG (OF DRINK),,,2718,STRONG (OF DRINK),,
brokenshattered,BROKEN (SHATTERED),,,3191,BROKEN (SHATTERED),,
clear,CLEAR,,,989,CLEAR,CLEAN,
turbid,TURBID,,,537,TURBID,,
hotorwarm,HOT OR WARM,,,2272,HOT OR WARM,HOT,Swadesh-1955-100
